City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
242,altay,47.8667,88.1167,12.43,41,22,1.34,CN,1696218752
243,annau,37.8876,58.516,14.72,41,1,1.03,TM,1696218890
244,punta arenas,-53.15,-70.9167,1.06,86,20,6.69,CL,1696218701
245,sasebo,33.1592,129.7228,26.69,47,75,6.82,JP,1696218891
246,kinrooi,51.1476,5.7385,18.13,85,40,1.54,BE,1696218891
247,mana,5.6592,-53.7767,26.59,84,74,6.1,GF,1696218720
248,weligama,5.9667,80.4167,27.58,77,86,2.93,LK,1696218611
249,vila franca do campo,37.7167,-25.4333,20.23,99,79,3.72,PT,1696218728
250,praia da vitoria,38.7333,-27.0667,18.75,88,20,3.67,PT,1696218756
251,mao,39.8885,4.2658,21.31,100,20,2.57,ES,1696218891
252,qingyuan,23.7,113.0333,29.99,72,26,1.62,CN,1696218623
253,lebu,-37.6167,-73.65,8.04,84,87,1.19,CL,1696218704
254,grand-bassam,5.2118,-3.7388,25.98,91,69,2.2,CI,1696218891
255,kirkwood,38.5834,-90.4068,23.1,73,20,2.57,US,1696218860
256,treasure island,27.7692,-82.769,26.13,79,0,5.66,US,1696218892
257,george town,5.4112,100.3354,32.19,76,20,3.6,MY,1696218706
258,hadibu,12.65,54.0333,26.9,79,21,2.13,YE,1696218761
259,klyuchi,52.2667,79.1667,9.62,61,0,3.74,RU,1696218698
260,pavlodar,52.3,76.95,6.89,93,100,4.0,KZ,1696218892
261,walvis bay,-22.9575,14.5053,11.72,93,100,3.6,NA,1696218753
262,port lincoln,-34.7333,135.8667,25.4,38,0,5.2,AU,1696218736
263,khovd,48.0056,91.6419,8.31,54,4,2.13,MN,1696218892
264,udachny,66.4167,112.4,-0.86,92,100,7.56,RU,1696218716
265,el hamma,33.8915,9.7963,17.62,77,2,2.03,TN,1696218892
266,mammoth lakes,37.6485,-118.9721,2.4,94,100,2.06,US,1696218893
267,manaure,11.7751,-72.4445,28.14,82,90,3.95,CO,1696218893
268,bel ombre,-4.6167,55.4167,27.91,78,40,6.69,SC,1696218893
269,kudahuvadhoo,2.6708,72.8944,27.96,76,99,5.33,MV,1696218893
270,douglas,41.3,-96.167,25.44,49,0,4.63,US,1696218893
